Libellé Gare	Voyageurs	Commune	Département	coordonnees_geographiques
St-Jean-Pied-de-Port	O	St-Jean-Pied-de-Port	Pyrénées-Atlantiques	"43.1681132982,-1.23862164609"
Puyoô	O	Puyoô	Pyrénées-Atlantiques	"43.5244513148,-0.910254569723"
Marignac-St-Béat	O	Marignac	Haute-Garonne	"42.9154657471,0.651983192181"
Luchon	O	Bagnères-de-Luchon	Haute-Garonne	"42.7972727571,0.596736402561"
Saléchan-Siradan	O	Saléchan	Hautes-Pyrénées	"42.9629118364,0.631314101657"
Thuès	O	Thuès-entre-Valls	Pyrénées-Orientales	"42.5229066763,2.22277808016"
Fontpédrouse-St-Thomas-les-Bains	O	Fontpédrouse	Pyrénées-Orientales	"42.5136987482,2.18861948321"
Estavar	O	Estavar	Pyrénées-Orientales	"42.4632459259,2.01781999218"
Saillagouse	O	Saillagouse	Pyrénées-Orientales	"42.4567398079,2.03218821525"
Latour-de-Carol-Enveitg	O	Enveitg	Pyrénées-Orientales	"42.4589159701,1.90443561589"
Tarascon-sur-Ariège	O	Tarascon-sur-Ariège	Ariège	"42.8494883401,1.59998644389"
Limoux	O	Limoux	Aude	"43.0564696655,2.22308717753"
Cases-de-Pène	N	Espira-de-l'Agly	Pyrénées-Orientales	"42.7789833895,2.79311662029"
Gruissan-Tournebelle	N	Narbonne	Aude	"43.1195715553,3.03012078968"
Salses	O	Salses-le-Château	Pyrénées-Orientales	"42.8355645658,2.91741290725"
Rivesaltes	O	Rivesaltes	Pyrénées-Orientales	"42.766340556,2.86775128233"
Perpignan	O	Perpignan	Pyrénées-Orientales	"42.6962152611,2.87935045083"
Perpignan	O	Perpignan	Pyrénées-Orientales	"42.6962152611,2.87935045083"
Millas	O	Millas	Pyrénées-Orientales	"42.6889258584,2.69300705604"
Ille-sur-Têt	O	Ille-sur-Têt	Pyrénées-Orientales	"42.6682114454,2.62421294332"
Marquixanes	O	Marquixanes	Pyrénées-Orientales	"42.642722773,2.48542011848"
St-Jean-Pla-de-Corts	N	St-Jean-Pla-de-Corts	Pyrénées-Orientales	"42.5160490644,2.78918858514"
Marseilles-lès-Aubigny	N	Marseilles-lès-Aubigny	Cher	"47.0721297875,3.00945363736"
Asnières-lès-Bourges	N	Bourges	Cher	"47.1190540893,2.41648208487"
Argent	N	Argent-sur-Sauldre	Cher	"47.5640684595,2.44022438674"
Sully-sur-Loire	N	Sully-sur-Loire	Loiret	"47.7598003502,2.36945935825"
Argent	N	Argent-sur-Sauldre	Cher	"47.5640684595,2.44022438674"
Gien	O	Gien	Loiret	"47.6988786412,2.63675735048"
Chécy-Mardié	N	Chécy	Loiret	"47.8966087864,2.03903191413"
Châteauneuf-sur-Loire	N	Châteauneuf-sur-Loire	Loiret	"47.8687369289,2.22689096768"
Bourges	O	Bourges	Cher	"47.0946181367,2.3943230909"
St-Germain-du-Puy	O	St-Germain-du-Puy	Cher	"47.0963219985,2.48445227339"
St-Florent-sur-Cher	O	St-Florent-sur-Cher	Cher	"46.9930331282,2.25271202132"
St-Satur (Cher)	N	St-Satur	Cher
Fabrègues	N	Fabrègues	Hérault	"43.5571698763,3.77603687576"
Les Trillers	O	Vaux	Allier	"46.4145530314,2.59990723464"
Loupiac-St-Christophe	N	Pleaux	Cantal	"45.1205678966,2.32054484682"
St-Florent-sur-Cher	O	St-Florent-sur-Cher	Cher	"46.9930331282,2.25271202132"
Eygurande-Merlines	O	Merlines	Corrèze	"45.6451162175,2.46079792543"
Reterre	O	Reterre	Creuse	"46.101749505,2.48696675896"
Auzances	O	Auzances	Creuse	"46.0287553875,2.491792482"
La Ville-Gozet	O	Montluçon	Allier	"46.3497895675,2.59178241638"
Guéret	O	Guéret	Creuse	"46.1742333621,1.87937254645"
La Châtre	N	La Châtre	Indre	"46.5911044951,1.98525981991"
Viviez-Decazeville	O	Viviez	Aveyron	"44.5554875248,2.21841204933"
Nuces	O	Valady	Aveyron	"44.4403284254,2.44167965369"
Montluçon-Ville	O	Montluçon	Allier	"46.3376723777,2.59619645862"
Parsac-Gouzon	O	Parsac	Creuse	"46.1983389429,2.17449134925"
Montaigut	O	Montaigut-le-Blanc	Creuse	"46.1368928016,1.73396954372"
Marsac (Creuse)	O	Marsac	Creuse	"46.094218181,1.58570985145"
Montluçon-Rimard	O	Montluçon	Allier	"46.3355557267,2.61145298013"
Doyet-la-Presle	N	Doyet	Allier	"46.3486124376,2.81536730497"
Moulins-sur-Allier	O	Moulins	Allier	"46.5612345193,3.33918460108"
Louroux-de-Bouble	O	Louroux-de-Bouble	Allier	"46.2240808309,2.98488616243"
St-Bonnet-de-Rochefort	O	St-Bonnet-de-Rochefort	Allier	"46.1484242665,3.13962845989"
Gannat	O	Gannat	Allier	"46.0976178635,3.20486521975"
La Bouble	O	St-Éloy-les-Mines	Puy-de-Dôme	"46.1570449223,2.82628870406"
Laqueuille	O	St-Julien-Puy-Lavèze	Puy-de-Dôme	"45.647048414,2.70485350517"
Pontgibaud	O	Pontgibaud	Puy-de-Dôme	"45.8209429776,2.84579480912"
Brignac	O	Royères	Haute-Vienne	"45.863767732,1.44062182348"
Naussac	O	Naussac	Aveyron	"44.5170627606,2.10405795787"
Brive-la-Gaillarde	O	Brive-la-Gaillarde	Corrèze	"45.152365548,1.5278745899"
Turenne	O	Turenne	Corrèze	"45.0378312292,1.60074292694"
St-Denis-près-Martel	O	St-Denis-lès-Martel	Lot	"44.9457180381,1.66649586093"
Floirac (Lot)	O	Floirac	Lot	"44.9130382934,1.65349202288"
Figeac	O	Figeac	Lot	"44.6037872492,2.03782039028"
Cordes-Vindrac	O	Vindrac-Alayrac	Tarn	"44.0678103927,1.89966653902"
Gaillac	O	Gaillac	Tarn	"43.9065248411,1.89557848693"
Lisle-sur-Tarn	O	Lisle-sur-Tarn	Tarn	"43.8570209896,1.80846379372"
St-Sulpice (Tarn)	O	St-Sulpice	Tarn	"43.7751040383,1.68052645955"
Laroquebrou	O	Laroquebrou	Cantal	"44.9640726575,2.19286125951"
Vayrac	O	Vayrac	Lot	"44.9501283436,1.70636922026"
Bretenoux-Biars	O	Biars-sur-Cère	Lot	"44.9275320134,1.84412778269"
Le Rouget	O	St-Mamet-la-Salvetat	Cantal	"44.8566203268,2.23548284989"
La Capelle-Viescamp	O	Lacapelle-Viescamp	Cantal	"44.9199832607,2.26620482371"
Figeac	O	Figeac	Lot	"44.6037872492,2.03782039028"
St-Georges-de-Luzençon	O	St-Georges-de-Luzençon	Aveyron	"44.0660535811,2.98352024001"
Engayresque	N	Sévérac-le-Château	Aveyron	"44.2505730645,3.06474450052"
Sées	O	Sées	Orne	"48.599909634,0.166272035491"
Surdon	O	Le Château-d'Almenêches	Orne	"48.6650148511,0.134545606272"
Vivoin-Beaumont	O	Vivoin	Sarthe	"48.2301989907,0.14490857862"
Alençon	O	Alençon	Orne	"48.4339402042,0.0991464020626"
Rennes	O	Rennes	Ille-et-Vilaine	"48.1031158257,-1.67288128566"
Chevaigné	O	Chevaigné	Ille-et-Vilaine	"48.2090598765,-1.63092557959"
Dingé	O	Dingé	Ille-et-Vilaine	"48.3507076721,-1.68583203126"
Lannion	O	Lannion	Côte-d'Armor	"48.7272261581,-3.46036227214"
Roscoff	O	Roscoff	Finistère	"48.7206488633,-3.98283581323"
Écouflant	O	Écouflant	Maine-et-Loire	"47.5036774032,-0.519612346086"
Le Mans	O	Le Mans	Sarthe	"47.9949627836,0.19373767762"
Pontchâteau	O	Pontchâteau	Loire-Atlantique	"47.4363076119,-2.08838349015"
Gennes-Longuefuye	N	Longuefuye	Mayenne	"47.8733060852,-0.6192379114"
Pau	O	Pau	Pyrénées-Atlantiques	"43.2914678185,-0.369564399783"
Morcenx	O	Morcenx	Landes	"44.033980529,-0.908365475271"
Ygos	O	Ygos-St-Saturnin	Landes	"43.9782838262,-0.736194651569"
Cazères-sur-l'Adour	N	Cazères-sur-l'Adour	Landes	"43.7653521101,-0.316558699102"
Barcelonne-du-Gers	N	Aire-sur-l'Adour	Landes	"43.7041023128,-0.234332574125"
Croix-d'Hins	O	Marcheprime	Gironde	"44.709874303,-0.815110201088"
Morcenx	O	Morcenx	Landes	"44.033980529,-0.908365475271"
Rion-des-Landes	N	Rion-des-Landes	Landes	"43.9178593795,-0.91768849017"
Labouheyre	O	Labouheyre	Landes	"44.2105871323,-0.921092755274"
Puyoô	O	Puyoô	Pyrénées-Atlantiques	"43.5244513148,-0.910254569723"
Le Teich	O	Le Teich	Gironde	"44.632350113,-1.02560772937"
La Teste	O	La Teste-de-Buch	Gironde	"44.6371117442,-1.14281177681"
Cambo-les-Bains	O	Cambo-les-Bains	Pyrénées-Atlantiques	"43.365557932,-1.39668241872"
Pont-Noblia	O	Bidarray	Pyrénées-Atlantiques	"43.2680292777,-1.3450062765"
St-Étienne-de-Baïgorry	N	St-Étienne-de-Baïgorry	Pyrénées-Atlantiques	"43.1748935081,-1.34490912282"
Pau	O	Pau	Pyrénées-Atlantiques	"43.2914678185,-0.369564399783"
La Croix-du-Prince	O	Jurançon	Pyrénées-Atlantiques	"43.2858094505,-0.37899127785"
Gan	O	Gan	Pyrénées-Atlantiques	"43.2342906465,-0.391462765103"
Buzy-en-Béarn	O	Buzy	Pyrénées-Atlantiques	"43.1482182336,-0.455839308386"
Bedous	N	Bedous	Pyrénées-Atlantiques	"42.9952018206,-0.60395694472"
Lannemezan	O	Lannemezan	Hautes-Pyrénées	"43.1141749477,0.387712963411"
Labarthe-Avezac	N	Avezac-Prat-Lahitte	Hautes-Pyrénées	"43.0823006509,0.361662204816"
Mont-Louis-La Cabanasse	O	La Cabanasse	Pyrénées-Orientales	"42.5019641947,2.11322804006"
Font-Romeu-Odeillo-Via	O	Font-Romeu-Odeillo-Via	Pyrénées-Orientales	"42.4912170372,2.03850411647"
Err	O	Err	Pyrénées-Orientales	"42.4427671824,2.02888924964"
Ur-les-Escaldes	O	Ur	Pyrénées-Orientales	"42.4574712117,1.94046699689"
Béna-Fanès	O	Enveitg	Pyrénées-Orientales	"42.4579761899,1.91698194595"
Olette-Canaveilles-les-Bains	O	Olette	Pyrénées-Orientales	"42.5546606166,2.27201185939"
Ax-les-Thermes	O	Ax-les-Thermes	Ariège	"42.724771435,1.83346662621"
Mérens-les-Vals	O	Mérens-les-Vals	Ariège	"42.6593645683,1.8373366163"
L'Hospitalet-près-l'Andorre	O	L'Hospitalet-près-l'Andorre	Ariège	"42.589502398,1.80002684037"
Varilhes	O	Varilhes	Ariège	"43.0415050085,1.62843237178"
St-Paul-St-Antoine	N	St-Paul-de-Jarrat	Ariège	"42.9193477777,1.64061341621"
Vénerque-le-Vernet	O	Vernet	Haute-Garonne	"43.4333180756,1.42589914314"
Auterive	O	Auterive	Haute-Garonne	"43.348892896,1.46858983084"
Cintegabelle	O	Cintegabelle	Haute-Garonne	"43.3052452697,1.52056503731"
Porta	O	Porta	Pyrénées-Orientales	"42.5217504457,1.8219590098"
Alet-les-Bains	O	Alet-les-Bains	Aude	"42.9972745073,2.25199805204"
Caudiès	N	Caudiès-de-Fenouillèdes	Pyrénées-Orientales	"42.8106399508,2.37308034623"
Portbou	O	Port-Bou	Étranger	"42.427054488,3.15726098738"
Banyuls-sur-Mer	O	Banyuls-sur-Mer	Pyrénées-Orientales	"42.4828909213,3.124865814"
Ria	O	Ria-Sirach	Pyrénées-Orientales	"42.6032340521,2.39048376421"
Elne	O	Elne	Pyrénées-Orientales	"42.5971934896,2.96348305071"
Céret	N	Céret	Pyrénées-Orientales	"42.4948964278,2.72796875538"
Les Bordes	N	Les Bordes	Loiret	"47.8113196061,2.39872465856"
Cerdon-du-Loiret	N	Cerdon	Loiret	"47.6346037969,2.35971148338"
Vennecy	N	Vennecy	Loiret	"47.9433551484,2.05001119024"
St-Denis-Jargeau	N	St-Denis-de-l'Hôtel	Loiret	"47.8738790489,2.1292998837"
St-Satur (Cher)	N	St-Satur	Cher
Mehun-sur-Yèvre	O	Mehun-sur-Yèvre	Cher	"47.1394093505,2.20722071313"
Savigny-en-Septaine	N	Savigny-en-Septaine	Cher	"47.0495261591,2.58319839003"
Avord	O	Avord	Cher	"47.0348134859,2.65255053093"
Montluçon-Eau	N	Montluçon	Allier	"46.3616853513,2.59196436972"
La Ville-Gozet	O	Montluçon	Allier	"46.3497895675,2.59178241638"
Montluçon-Ville	O	Montluçon	Allier	"46.3376723777,2.59619645862"
Ardentes	N	Ardentes	Indre	"46.739874604,1.8232127769"
Boussac	N	Boussac	Creuse	"46.3487180247,2.2249662117"
Cransac	O	Cransac	Aveyron	"44.5227844174,2.27232339539"
Guéret	O	Guéret	Creuse	"46.1742333621,1.87937254645"
St-Sulpice-Laurière	O	St-Sulpice-Laurière	Haute-Vienne	"46.048582555,1.47358586603"
Guéret	O	Guéret	Creuse	"46.1742333621,1.87937254645"
Chamblet	O	Chamblet	Allier	"46.3134249909,2.69955162091"
Gouttières	O	Gouttières	Puy-de-Dôme	"46.078222261,2.79111146363"
St-Gervais-Châteauneuf	O	St-Gervais-d'Auvergne	Puy-de-Dôme	"46.030385387,2.80797689626"
St-Sauves	N	St-Sauves-d'Auvergne	Puy-de-Dôme	"45.6200891477,2.70598133924"
Bourg-Lastic-Messeix	O	Messeix	Puy-de-Dôme	"45.6276253209,2.56000392344"
St-Ours-les-Roches	N	St-Ours	Puy-de-Dôme	"45.8337881935,2.9084427532"
Volvic	O	Volvic	Puy-de-Dôme	"45.8647300503,3.00342466059"
Clermont-Ferrand	O	Clermont-Ferrand	Puy-de-Dôme	"45.7784990496,3.10037919673"
Felletin	O	Felletin	Creuse	"45.886502409,2.16945619509"
La Celle-Corrèze	O	Lacelle	Corrèze	"45.6412722586,1.82649066481"
Pérols	O	Pérols-sur-Vézère	Corrèze	"45.5848044914,1.9776872266"
St-Denis-des-Murs	O	St-Denis-des-Murs	Haute-Vienne	"45.7890772545,1.55111544373"
Châteauneuf-Bujaleuf	O	Neuvic-Entier	Haute-Vienne	"45.7593787503,1.64531808814"
Meymac	O	Meymac	Corrèze	"45.5300299969,2.16369786129"
Toulouse-Matabiau	O	Toulouse	Haute-Garonne	"43.6108524467,1.45435483966"
Les Quatre-Routes	O	Les Quatre-Routes-du-Lot	Lot	"44.9976666803,1.64374172448"
Gramat	O	Gramat	Lot	"44.7734691328,1.72231617771"
Assier	O	Assier	Lot	"44.6746712238,1.86942904805"
Tessonnières	O	Gaillac	Tarn	"43.9287437792,1.93791287235"
Lexos	O	Varen	Tarn-et-Garonne	"44.1421860699,1.88630375049"
Viescamp-sous-Jalles	O	Viescamp-sous-Jalles	Cantal	"44.9161710827,2.29709975207"
Lamativie	N	Lamativie	Lot	"44.9807060411,2.0298299309"
Aurillac	O	Aurillac	Cantal	"44.9212828724,2.43620211123"
Murat	O	Murat	Cantal	"45.1090558648,2.86963236261"
Massiac	O	Massiac	Cantal	"45.2537520438,3.1964851225"
Viazac	O	Viazac	Lot	"44.6437880048,2.08906731035"
Feignies	N	Feignies	Nord	"50.3061995809,3.92211866783"
Roye-sur-Matz	N	Roye-sur-Matz	Oise	"49.5939840176,2.75643807032"
Wambaix	O	Wambaix	Nord	"50.1338578425,3.31123061275"
Valenciennes	O	Valenciennes	Nord	"50.3623050457,3.51563327282"
St-Amand-les-Eaux	O	St-Amand-les-Eaux	Nord	"50.4417361169,3.42157798126"
Maulde-Mortagne	N	Mortagne-du-Nord	Nord	"50.4969484736,3.44318486921"
Aubigny-au-Bac	O	Aubigny-au-Bac	Nord	"50.2684749664,3.15828444901"
Flavy-le-Martel	O	Flavy-le-Martel	Aisne	"49.7187021301,3.19074829012"
Ham (Somme)	O	Muille-Villette	Somme	"49.7395433714,3.07095711942"
Orchies	O	Orchies	Nord	"50.4762004059,3.25247017642"
Hirson-Écoles	O	Hirson	Aisne	"49.9293220832,4.08600010606"
Fretin (Nord)	O	Fretin	Nord	"50.5600644953,3.14966414182"
Ennevelin	O	Templeuve	Nord	"50.5486112205,3.15935226122"
Avesnelles	O	Avesnelles	Nord	"50.1197755623,3.94610482199"
Orchies	O	Orchies	Nord	"50.4762004059,3.25247017642"
Genech	O	Genech	Nord	"50.5309197607,3.22047948075"
Roubaix-Wattrelos	N	Roubaix	Nord	"50.6905986643,3.20393320272"
Baisieux	O	Baisieux	Nord	"50.6185990048,3.23469897268"
Ostricourt	O	Ostricourt	Nord	"50.4450690573,3.03258793225"
Phalempin	O	Phalempin	Nord	"50.5146823397,3.01998361471"
Lille-Champ-de-Mars	N	Ronchin	Nord	"50.6154675498,3.09102524626"
Lille-Flandres	O	Lille	Nord	"50.636806,3.071793"
Creil	O	Creil	Oise	"49.264336965,2.46933851337"
Laigneville	O	Laigneville	Oise	"49.2932314346,2.4490811102"
Liancourt-Rantigny	O	Rantigny	Oise	"49.3251619,2.44544154394"
Paris-Nord	O	Paris-10	Paris	"48.8816419415,2.35616002226"
Paris-La Chapelle	N	Paris-18	Paris	"48.8993104474,2.35438856301"
Courcelles-le-Comte	O	Courcelles-le-Comte	Pas-de-Calais	"50.1692636124,2.78803955479"
Biache-St-Vaast	O	Biache-St-Vaast	Pas-de-Calais	"50.3162801094,2.94099764493"
Stade-de-France-St-Denis	O	St-Denis	Seine-St-Denis	"48.918640251,2.34977250784"
Ailly-sur-Noye	O	Ailly-sur-Noye	Somme	"49.7548653998,2.364295001"
Goussainville	O	Goussainville	Val-d'Oise	"49.0243528682,2.4641450144"
Les Noues	O	Goussainville	Val-d'Oise	"49.0334275381,2.4785512628"
Pont-de-la-Deule	O	Raimbeaucourt	Nord	"50.3976890326,3.08494691986"
Arras	O	Arras	Pas-de-Calais	"50.2864957665,2.78196693428"
Ostricourt	O	Ostricourt	Nord	"50.4450690573,3.03258793225"
Lens	O	Lens	Pas-de-Calais	"50.4269780676,2.82721859091"
Bauvin-Provin	O	Provin	Nord	"50.511673057,2.90504075579"
Marquillies	O	Marquillies	Nord	"50.5477083069,2.86618094955"
Loos-les-Lille	O	Loos	Nord	"50.6127400449,3.01658077913"
Calonne-Ricouart	O	Calonne-Ricouart	Pas-de-Calais	"50.4821264358,2.48020320848"
Sequedin	N	Sequedin	Nord	"50.6256480969,2.98771266578"
Lille-Délivrance	N	Lille	Nord	"50.6286454716,2.99313709258"
Ennetières-en-Weppes	N	La Chapelle-d'Armentières	Nord	"50.6503621206,2.90917935611"
Armentières	O	Armentières	Nord	"50.6804229073,2.87755143216"
Isbergues	O	Isbergues	Pas-de-Calais	"50.6147963459,2.46323190985"
Wardrecques	N	Racquinghem	Pas-de-Calais	"50.707843662,2.36614310567"
Bailleul (Nord)	O	Bailleul	Nord	"50.7288874952,2.73438631741"
Strazeele	O	Strazeele	Nord	"50.7135017934,2.63093511273"
Hazebrouck	O	Hazebrouck	Nord	"50.7251674374,2.54160846211"
St-Omer (Pas-de-Calais)	O	St-Omer	Pas-de-Calais	"50.7536919166,2.26777459178"
Ruminghem	O	Ruminghem	Pas-de-Calais	"50.8613446465,2.1595891766"
Audruicq	O	Audruicq	Pas-de-Calais	"50.8752823382,2.07787702047"
Nortkerque	O	Nortkerque	Pas-de-Calais	"50.8828829049,2.02337959734"
Marquette	O	Marquette-lez-Lille	Nord	"50.6724714375,3.0508477635"
Leffrinckoucke	N	Leffrinckoucke	Nord	"51.050913636,2.43349008539"
Thiennes	O	Thiennes	Nord	"50.6519195697,2.47246419508"
Coudekerque-Branche	O	Coudekerque-Branche	Nord	"51.0201766032,2.37390054978"
Dunkerque	O	Dunkerque	Nord	"51.0346454171,2.36467890972"
Avion	O	Avion	Pas-de-Calais	"50.4064177436,2.83348213521"
Liévin	O	Liévin	Pas-de-Calais	"50.4340818052,2.77112574257"
Lillers	O	Lillers	Pas-de-Calais	"50.5609795979,2.47939339294"
Dunkerque-Maritime-Mardyck	N	Dunkerque	Nord	"51.0110741413,2.2667004456"
Marck	N	Marck	Pas-de-Calais	"50.9454343544,1.95245471018"
Les Fontinettes	O	Calais	Pas-de-Calais	"50.940583808,1.84996141063"
Arras	O	Arras	Pas-de-Calais	"50.2864957665,2.78196693428"
Frévin-Capelle	O	Frévin-Capelle	Pas-de-Calais	"50.3472776136,2.63335969526"
St-Pol-sur-Ternoise	O	St-Pol-sur-Ternoise	Pas-de-Calais	"50.3790842507,2.33817522422"
Brimeux	O	Brimeux	Pas-de-Calais	"50.4470517356,1.83149585313"
Montreuil-sur-Mer	O	Montreuil	Pas-de-Calais	"50.4663734196,1.7690179042"
Attin-Garage	N	Attin	Pas-de-Calais	"50.4811078329,1.7548680264"
Wavrans	N	Wavrans-sur-Ternoise	Pas-de-Calais	"50.414460943,2.30022706284"
Hersin-Coupigny	N	Hersin-Coupigny	Pas-de-Calais	"50.4401328052,2.66356540346"
Bruay-en-Artois	N	Bruay-la-Buissière	Pas-de-Calais	"50.4699526746,2.58995248525"
Lumbres	N	Lumbres	Pas-de-Calais	"50.7006227689,2.11965658504"
Pont-Remy	O	Pont-Remy	Somme	"50.0472445823,1.89893934587"
Abbeville	O	Abbeville	Somme	"50.1019712053,1.82429997932"
Boulogne-Maritime	N	Boulogne-sur-Mer	Pas-de-Calais	"50.7249116093,1.598336068"
Boulogne-Tintelleries	O	Boulogne-sur-Mer	Pas-de-Calais	"50.7273190302,1.6093352968"
Marquise-Rinxent	O	Rinxent	Pas-de-Calais	"50.8053906552,1.73151688135"
Fréthun-lès-Calais	N	Fréthun	Pas-de-Calais	"50.9194191691,1.82153238327"
Calais-Maritime	N	Calais	Pas-de-Calais	"50.9606212418,1.8633066944"
Montsoult-Maffliers	O	Montsoult	Val-d'Oise	"49.0660249994,2.32248854046"
Cramoisy	O	Cramoisy	Oise	"49.2565389653,2.40502126878"
Heilles-Mouchy	O	Heilles	Oise	"49.3402230503,2.2735683403"
Soissons	O	Soissons	Aisne	"49.3690000793,3.33836313795"
Avrigny	N	Avrigny	Oise	"49.3911250968,2.5792137436"
Bailleul-sur-Thérain	N	Bailleul-sur-Thérain	Oise	"49.3927122569,2.20806083574"
Breteuil-Embranchement	O	Bacouël	Oise	"49.6266801633,2.38423093417"
Longroy-Gamaches	O	Longroy	Seine-Maritime	"49.9819883244,1.55258673356"
Abbeville	O	Abbeville	Somme	"50.1019712053,1.82429997932"
Acheux-Franleu	O	Chépy	Somme	"50.0824794101,1.65717435073"
Feuquerolles	O	Feuquières-en-Vimeu	Somme	"50.0648255209,1.60533412166"
Woincourt	O	Woincourt	Somme	"50.0587356832,1.53715458048"
Abancourt	O	Abancourt	Oise	"49.6855258188,1.7744954144"
Fontaine-Lavaganne	O	Fontaine-Lavaganne	Oise	"49.5959261838,1.95783948855"
Abancourt	O	Abancourt	Oise	"49.6855258188,1.7744954144"
Esches	O	Esches	Oise	"49.2124858188,2.17061749328"
Laboissière-le-Déluge	O	Laboissière-en-Thelle	Oise	"49.2884951506,2.13616216667"
Beauvais	O	Beauvais	Oise	"49.4263479971,2.08871258283"
Bourg-en-Bresse	O	Bourg-en-Bresse	Ain	"46.1994831529,5.21499778759"
Neuville-sur-Saône	N	Neuville-sur-Saône	Rhône	"45.8787698814,4.84139828446"
Ambérieu	O	Ambérieu-en-Bugey	Ain	"45.95382302,5.34238958202"
Lagnieu	N	Lagnieu	Ain	"45.9075223173,5.34972842176"
Pyrimont-Chanay	N	Chanay	Ain	"46.0157607651,5.80324158469"
Miribel	O	Miribel	Ain	"45.8218166902,4.95375609022"
Montluel	O	Montluel	Ain	"45.8480768496,5.05861622347"
La Plaine	O	Genève-Eaux-Vives	Étranger	"46.178678329,6.00087187695"
Flies	N	St-Genis-Pouilly	Ain	"46.274809275,6.03133440155"
Longeray-Léaz	N	Léaz	Ain	"46.1121444926,5.88494864433"
St-Julien-en-Genevois	O	St-Julien-en-Genevois	Haute-Savoie	"46.1419133436,6.08547382117"
Machilly	O	Machilly	Haute-Savoie	"46.2527773359,6.32838505131"
Bons-en-Chablais	O	Bons-en-Chablais	Haute-Savoie	"46.2695472254,6.36796561229"
Lyon-Part-Dieu	O	Lyon-03	Rhône	"45.7605405395,4.86020080367"
Ambilly	O	Ambilly	Haute-Savoie	"46.1945984451,6.22488606196"
Magland	O	Magland	Haute-Savoie	"46.0169303302,6.62120146658"
St-Gervais-les-Bains-Le Fayet	O	St-Gervais-les-Bains	Haute-Savoie	"45.9065209164,6.70128298948"
St-Pierre-en-Faucigny	O	St-Pierre-en-Faucigny	Haute-Savoie	"46.0592165511,6.37580723556"
Taconnaz	O	Les Houches	Haute-Savoie	"45.8994056138,6.82616325519"
Les Pélerins	O	Chamonix-Mont-Blanc	Haute-Savoie	"45.912491735,6.84733632252"
Chamonix-Aiguille du Midi	O	Chamonix-Mont-Blanc	Haute-Savoie	"45.9198096485,6.86675490952"
Servoz	O	Les Houches	Haute-Savoie	"45.9245040494,6.76353766822"
Évires	N	Évires	Haute-Savoie	"46.0435974478,6.24473922839"
La Bâthie	N	La Bâthie	Savoie	"45.6302432401,6.44518069218"
Moûtiers-Salins-Brides-les-Bains	O	Moûtiers	Savoie	"45.4864904523,6.5315486575"
Grésy-sur-Isère	O	Grésy-sur-Isère	Savoie	"45.594475746,6.25996650171"
Chambéry-Challes-les-Eaux	O	Chambéry	Savoie	"45.5719013631,5.91964474457"
Modane	O	Modane	Savoie	"45.1933688933,6.6592377159"
Pressins	N	Pressins	Isère	"45.5264636762,5.62959340176"
St-Béron-La Bridoire	O	St-Béron	Savoie	"45.5039948976,5.73180868266"
Virieu-le-Grand-Belley	O	Virieu-le-Grand	Ain	"45.8492419909,5.65472598063"
Meyrargues	O	Meyrargues	Bouches-du-Rhône	"43.6440795054,5.53928428663"
Venelles	N	Venelles	Bouches-du-Rhône	"43.5856260073,5.47384667352"
Bouc-Cabriès	N	Bouc-Bel-Air	Bouches-du-Rhône	"43.4232016384,5.38684879687"
Picon-Busserine	O	Marseille-14	Bouches-du-Rhône	"43.3314227973,5.3932951523"
Marseille-St-Charles	O	Marseille-04	Bouches-du-Rhône	"43.3028821962,5.38088156457"
Lus-la-Croix-Haute	O	Lus-la-Croix-Haute	Drôme	"44.6704198392,5.69707558789"
Serres	O	Serres	Hautes-Alpes	"44.4241470928,5.71837772469"
Laragne	O	Laragne-Montéglin	Hautes-Alpes	"44.3165480337,5.81995245242"
Moirans	O	Moirans	Isère	"45.3216221544,5.58256567983"
St-Égrève-St-Robert	O	St-Égrève	Isère	"45.2350726209,5.67107813955"
Jarrie-Vizille	O	Jarrie	Isère	"45.084810832,5.74257353889"
La Verpillière	O	La Verpillière	Isère	"45.6271571518,5.15162653285"
Le Grand-Lemps	O	Le Grand-Lemps	Isère	"45.3960664112,5.42351762621"
Heyrieux	N	St-Pierre-de-Chandieu	Rhône	"45.6575670076,5.05603658093"
Mirabeau	N	Mirabeau	Vaucluse	"43.6946902768,5.66936706235"
Manthes-Lapeyrouse	N	Manthes	Drôme	"45.3123104421,4.98641079478"
Montmélian	O	Montmélian	Savoie	"45.5033255105,6.04343520123"
Luc-en-Diois	O	Luc-en-Diois	Drôme	"44.6140380881,5.45483262881"
Gap	O	Gap	Hautes-Alpes	"44.5636806625,6.08534354963"
La Bâtie-Neuve-Le Laus	N	La Bâtie-Neuve	Hautes-Alpes	"44.565019906,6.19350937101"
Montdauphin-Guillestre	O	Eygliers	Hautes-Alpes	"44.6745727091,6.61553668578"
Prelles	N	St-Martin-de-Queyrières	Hautes-Alpes	"44.8573081847,6.58789267237"
Briançon	O	Briançon	Hautes-Alpes	"44.8896127773,6.63259010138"
Malijai	N	Malijai	Alpes-de-Haute-Provenc	"44.0490166119,6.02783584428"
Lamanon	O	Lamanon	Bouches-du-Rhône	"43.6999727969,5.09145817195"
Avignon	O	Avignon	Vaucluse	"43.9417074848,4.80556002442"
Le Thor	O	Le Thor	Vaucluse	"43.9263461425,4.99630988174"
